id,title,title2,description,race,job/role,weapon/skill,anti-hero,recommended,nsfw
114595,Game of Familia: Kazoku Senki,,"The protagonist along with his step-mother and 2 step-aunts are summoned into another world where demi-humans are the rulers as saviors, but its not to fight against a demon lord, its to fight an Undead Apocalypse monsters called ""Dead Mell"" that have overrun the world and that can only be killed by using weapons made with holy silver. For that, a familia is made (group of 4 people) with them being the swordmaster that uses the holy sword, the guardian that uses the power of earth to protect, the healer that use the power of water to heal and the black mage that uses the power of fire to destroy. The role of the guardian, the mage and the healer is to support the swordmaster that can only kill the monsters. But to use magic powers one must offer part of your being as a sacrifice to form a contract with spirits, and the higher the sacrifice, the higher the power. Now they must choose who are the 3 that need to sacrifice part of their bodies to gain power and who will wield the holy sword.",human,magician,strategist,1,1,0
129229,Goshujinsama to Yuku Isekai Survival!,Survival in Another World with My Mistress!,"Kosuke found himself in a whole different 
world. Standing there with the wilderness to the east and a forest to 
his left, he decided to make good use of the occurrence, and tests his 
knowledge to where he finds this amazing crafting ability, just like the
 games from his original world!",human,slave,minecraft,0,0,1
91656,"Gun-Ota ga Mahou Sekai ni Tensei shitara, Gendai Heiki de Guntai Harem wo Tsukucchaimashita!?","When a Gun Nerd Is Reincarnated to a World of Magic, He Established a Harem army with Modern Weapons!?","Houta Youta, 27 years old, was a virgin, a high school dropout, and a former hikikomori. His life had been pretty horrible since his high school years and now, on his way home from work at the metalworking factory, he gets stabbed to death by a drug addict. However, it seems that he has been reborn in a fantasy world.",human,adventurer,gun,0,0,0
122650,"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells,"Along with his entire class, Touka Mimori 
was summoned to another world by the Goddess Vysis. While most were 
ranked quite powerful, Touka was the weakest among them, so it was only 
natural that he be disposed of. Vysis' first impression as a generous 
and loving woman soon gives way to her true, cruel nature, and she 
rallies his classmates against him, casting him into a cavernous 
labyrinth of death and despair.



Despite being the weakest, even he has a personal skill: ""Abnormal State
 Skill."" This ability, combined with his low level ""poison"" and 
""paralyze"" powers, proves to be a deadly medley—hindering the movement 
of monsters, then letting poison whittle away at their health until they
 die without having a chance to fight back. 



Gaining new abilities and companions along the way, Touka aims to exact 
revenge on that spiteful goddess who cast him into this hellscape.",human,hero,abnormal status,1,0,0
89161,Hisshou Dungeon Unei Houhou,"Certain Victory Dungeon Administration Technique
        ","One day in a sunny leisure day, a woman 
visited my house and asked me if I’m interested in managing a dungeon 
along with support from a goddess. But of course, I refused. Eh? I 
shouldn’t ignore a person in trouble, moreover if it’s a beautiful 
woman? No way, that’s too bothersome and why do I have to do that? I’m 
perfectly satisfied with my comfortable life now, throwing it away is 
just overly stupid... Sigh, fine. So I just go to another world, become a
 dungeon master, manage a dungeon, and deal with a mana circulation 
problem? Understood, but how to do it? Let me show you how...",human,dungeon master,strategist,0,0,0
125904,"Houkago wa, Isekai Kissa de Coffee wo","Have a Cup of Coffee at the Cafe in Fantasy World, After School.","Yuu found himself in another world, where 
now he spends his time not adventuring in the town's labyrinth, nor 
hunting down a demon lord, but running the world's only café. His days 
pass as he hopes for an upswing in popularity and works towards keeping 
his... eccentric regulars happy.



One day, a student attending the town's magic academy finds his café when looking for a quiet place to study...",human,cafe owner,-,0,0,0
86043,"Isekai de ""Kuro no Iyashi Te"" tte Yobareteimasu",The Black Healer,"Walking home one night, Kanzaki Misuzu is 
dragged into another world by strange, black hands. She awakens in a 
field and discovers that this world functions like an RPG; there is a 
status screen, with details concerning her health and mana. In fact, she
 has an absurdly high amount of mana!



While she is able to manage herself well, it's still a lot to handle, 
being all alone in the world. After meeting some knights, she soon 
realizes a use for her modern-day knowledge—healing. Knowing how the 
body works down to its very cells, Kanzaki is able to discern illnesses 
and treat them.



Quickly making a name for herself as an unparalleled healer—earning the 
title ""Black Healer""—Kanzaki sets out on an adventure in this 
fantastical world, searching for a way home and, all the while, 
unraveling the truth behind the mysterious man in her dreams.",human,magician,healer,0,0,0
111846,Isekai de Saikyou no Tsue ni Tensei shita Ore ga Iyagaru Shoujo wo Muriyari Mahou Shoujo ni P suru!,"Reincarnated as the strongest wand In another world, I'm forcing a girl to be a magical girl against her will!","Niimi Reiji is a huge fan of a widely 
popular TV animation series ""Magical Girl☆Charming Luluna."" One day he 
died while saving his friend's daughter and was reincarnated in a 
different world. But in the form of a magical wand! With his magic power
 he transforms (forces) a girl similar to his favorite character into a 
""magical girl.""



The saga of a magical girl and her magical (physical) power in another world start!",wand,magic wand,magic,0,0,1
134764,"Isekai Furin: Maou Toubatsu kara 10-nen, Tsuma to wa Less no Motoyuusha to, Otto wo Nakushita Onna Senshi","Isekai Affair: Ten Years After the Demon King's Subjugation, the Married Former Hero and the Female Warrior Who Lost Her Husband","Yuta Shimabara, who was run over by the 
truck, reincarnated in a different world as a hero and subdued the Demon
 King with unrivaled power! Ten years later, the only thing he has to 
show for is a mediocre and hard-working daily life. However, the 
forbidden love with the female warrior Lucas, a member of the Demon King
 Subjugation Party, heats up!?",human,hero,sword,0,0,1
119098,Isekai Kitchen: Around 30 Eiyoushi no Second Life,Parallel Universe Kitchen,"Touya Asayama, a registered dietician, is 
suddenly sent to another world with his little sister Momoka. They 
stumble across a restaurant specializing in healthy food, but it ends up
 that the people of this world believe that food can't be healthy and 
taste good at the same time. Armed with his knowledge as a dietician, 
Touya begins working at the restaurant in hopes of changing the world's 
view of food and healthy eating.",human,cook,-,0,0,0
131228,Isekai Kuimetsu no Same,"
Killer Shark in Another World","Summoned to try to defeat the Demon King, 
Shiromi diligently studies at a magic school, but through a confluence 
of mysterious factors, she ends up conjuring a super dangerous shark, 
Same.  Her classmates and the Demon King's soldiers alike become a 
delicious dinner for Same.  Apologizing as she goes, Shiromi trods a 
bloodstained world.",human,student,summoner,1,0,0
103364,Isekai Mahou wa Okureteru!,The Magic in this Other World is Too Far Behind!,"Felmenia Stingray was a genius magician. 
She quickly became the most distinguished magician of the Astel Kingdom 
after her discovery of white fire magic, which had the power to burn 
anything.



However, the world is in peril due to the Demon King. The kingdom's 
court magicians perform a summoning ritual for heroes and bring forth 
two youths, a boy and a girl. Unlike the girl, the young man refused to 
fight the Demon King and demanded to be sent back to his world. The 
kingdom, angry with his behavior, lock him away.



Now Felmenia stands before the young man with her strongest magic, the 
white flame, being completely useless and asks who he is. It was already
 obvious to her that this man was far stronger than she was. To this he 
simply responds.



""Yakagi Suimei, a magician.""",human,magician,magic,0,0,0
91714,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,How NOT to Summon a Demon Lord,"An elite but socially-stunted gamer finds himself in another world, inhabiting the body of his character Diablo. Despite his powers, his awkwardness keeps getting in the way, so he decides to pretend to be a Demon Lord and soon finds himself with a pair of slaves: a well-endowed elf and a cat girl. Together, they struggle with everything from interpersonal relationships to diabolical beast battles.",demon,demon lord,magic,1,1,1
106608,Isekai Meikyuu de Harem wo,A Harem in the Fantasy World Dungeon,"A man was about to commit suicide and decides to search for a way to die in the internet, but then he found an odd site that asked a lot of questions and had a point based system that allows you to create skills and abilities for a character. He took interest in it and when he finished setting his character he was asked ""You will now be transported to a world with the settings you choose, coming back is not possible, do you still accept."" Then, without thinking much of it, he pressed ""Yes,"" and he found himself in another world with the skills and abilities he choose to have...",human,adventurer,job change,0,0,1
129759,Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku,Mynoghra the Apocalypsis: World Conquest by Civilization of Ruin,"Takuto Ira succumbed to illness at a young age and ended up reincarnating in a world that resembled the strategy simulation game, ""Eternal Nations,"" which he loved playing when he was alive. What appeared in front of him was Atou, a girl belonging to the evil civilization that he used to play as, ""Mynoghra."" The two of them decided to create a new country in this world once again.",god,king,summoner,1,1,0
110460,Isekai Nonbiri Nouka,Farming Life in Another World,"Having died of sickness at the age of 39, Machio Hiraku is given the opportunity to go to another world. When asked what his wish is by God intending to give him strength, he requests to have a healthy body, offered a second wish, he chooses to live peacefully, a third wish to be able to know the local language, and for a final wish, to be able to be a farmer.",human,farmer,farming tool,0,0,0
107893,Isekai Onsen ni Tensei shita Ore no Kounou ga Tondemosugiru,"I was reincarnated as a hot spring in an alternate world, and I'm way too effective","High school student Atami Kusatsu on his 
way to a rural onsen, meets with a tragic accident along the way and 
dies, but he's reincarnated as an onsen in a fantasy universe.



In this world, the liquefied Atami turns out to have remarkable physical
 and magical healing properties, and he soon finds himself being 
regularly visited by beautiful elven adventurer Laticia, large-breasted 
priestess Kumu, and petite village chieftess Chichiku.",onsen,onsen,healer,0,0,1
115310,Isekai Shoukan wa Nidome desu,This Makes My Second Otherworldly Summon,"There was once a man who was summoned to 
another world, and saved it. Of course, he became too popular there, and
 turned into an isekai-normie. However, that man fell into a ""trap,"" and
 was forcibly returned to his original world. Moreover, he had to start 
over as a baby!



This is the story of the way-too-fantastic ex-hero who lived as a gloomy
 high schooler as he gets summoned once again to that other world in a 
very unexpected development!",human,hero,sword,0,0,1
117595,Isekai Shuukyou e Youkoso!,Welcome to Religion in Another World,"Past the dreams there is a special world, where monsters and demons 
fight for supremacy, it so happens those same monsters and demons are 
also the objects of cult for religions in the real world. A victory in 
the monster world, means the success of a religion in the real world.

Wahowaho is a new religion, aiming to the top, and while searching for their god they have summoned a clueless human boy.


Toda Yuu was visiting a fan convention with his sister, he was looking 
forward the event for his favourite game, a phone gacha game with 
deities, but once he fell asleep things started to change in the real 
world.",god,-,-,0,0,0
127075,Isekai Sniper wa Onna Senshi no Mofumofu Pet,Another World Sniper Is Female Warrior's Mof-moffy Pet,"A 31-year-old gun otaku, completely 
penniless, dies and reincarnates in another world! But he was 
reincarnated as a fluffy, cute little monster?! He meets a female 
warrior and they begin adventuring together. It turns out his gun 
knowledge is extremely useful in this other world. An other world, 
reincarnation fantasy!",desk orc,adventurer,gun,0,0,1
